file,score,product_has_id,product_date_published,product_soft_app,seller_org_id,howto_schema,faq_schema_4plus,faq_visible_4plus,star_rating,footer_date,rating_schema_match,notes
ai-animation-film-prompt.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
ai-video-prompt.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
architecture-diagram-prompt.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
book-cover-prompt.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
brand-ad-copy.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
brand-voice-guide.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
business-plan.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
childrens-book-prompt.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
cold-outreach-email.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
conference-abstract.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
content-calendar.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
course-curriculum-builder.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
cover-letter-writer.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
dialogue-character-film-prompt.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
ecommerce-product-listing.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
email-newsletter-engine.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
eulogy-writer.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
event-speech-writer.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
exam-paper-generator.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
festival-holiday-greeting-prompt.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
financial-model-prompt.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
grant-and-proposal-writing.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
grant-proposal-writing.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
health-wellness-plan.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
home-renovation-brief.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
hotel-airbnb-listing-copy.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
investor-update-email.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
job-description-writer.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
lesson-plan-builder.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
linkedin-post-engine.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
logo-brand-identity-prompt.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
logo-brand-identity.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
menu-description-copy.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
nda-contract-draft.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
performance-review-writer.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
pitch-deck-narrative.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
podcast-episode-script.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
podcast-show-notes.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
poetry-verse-prompt.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
pr-press-release.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
prd-writer.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
product-ad-film-prompt.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
product-photography-prompt.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
real-estate-listing-copy.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
real-estate-photo-prompt.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
recipe-development-prompt.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
research-paper-outline.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
resume-cv-builder.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
sales-landing-page-copy.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
sales-page.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
screenplay-script.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
seo-blog-post-brief.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
short-form-ai-video.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
short-story-prompt.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
social-content-engine.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
social-media-carousel-prompt.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
terms-of-service-privacy-policy.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
tos-privacy-policy.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
travel-itinerary-planner.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
twitter-x-thread-engine.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
ugc-ad-creator.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
university-application-sop.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
university-sop.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
video-script-engine.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
visa-application-cover-letter.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
visa-cover-letter.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
webinar-online-event-script.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
wedding-invitation-prompt.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
wedding-vows-writer.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
youtube-thumbnail-prompt.html,10/10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
